City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,fale old settlement,-9.3852,-171.2468,28.79,72,96,6.55,TK,1732684209
295,san luis de la loma,17.2706,-100.8939,24.59,85,1,2.0,MX,1732684210
296,sinop,41.7711,34.8709,-3.32,88,58,4.07,TR,1732684212
297,xiongzhou,25.1167,114.3,17.97,28,45,5.11,CN,1732684214
298,porbandar,21.6422,69.6093,27.85,28,2,4.88,IN,1732684215
299,baruun-urt,46.6806,113.2792,-9.22,55,16,9.03,MN,1732684217
300,mina clavero,-31.721,-65.0062,17.77,92,46,1.5,AR,1732684219
301,afaahiti,-17.75,-149.2833,25.14,83,82,5.0,PF,1732684220
302,amasra,41.7463,32.3863,6.06,73,100,3.67,TR,1732684222
303,emerald,-23.5333,148.1667,35.64,24,63,3.87,AU,1732684224
304,sanming,26.2486,117.6186,16.2,34,34,2.46,CN,1732684225
305,sao paulo de olivenca,-3.3783,-68.8725,23.18,98,100,0.33,BR,1732684227
306,marka,1.7159,44.7717,28.32,70,20,4.23,SO,1732684229
307,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,42,20,7.0,RU,1732684230
308,serenje,-13.2325,30.2352,19.22,82,85,0.78,ZM,1732684232
309,vereshchagino,58.0789,54.6557,-7.75,93,5,1.71,RU,1732684234
310,zvishavane,-20.3267,30.0665,23.56,66,99,5.1,ZW,1732684235
311,farah,32.5,62.5,18.9,22,0,0.52,AF,1732684237
312,trevelin,-43.0858,-71.4639,4.65,90,83,2.0,AR,1732684151
313,sao vicente,-23.9631,-46.3919,22.21,26,65,0.66,BR,1732684240
314,sola,-13.8833,167.55,28.23,74,99,4.62,VU,1732684242
315,san bernardo del viento,9.3533,-75.9524,26.33,86,91,3.0,CO,1732684244
316,taltal,-25.4,-70.4833,16.11,87,26,2.41,CL,1732684245
317,queenstown,-31.8976,26.8753,12.93,82,100,1.71,ZA,1732684215
318,aginskoye,51.1,114.53,-12.42,73,33,7.92,RU,1732684249
319,mount pearl,47.5166,-52.7813,3.86,96,100,7.2,CA,1732684251
320,nyagan,62.1406,65.3936,2.11,83,94,4.46,RU,1732684077
321,caleta de carquin,-11.0925,-77.6267,18.47,87,99,2.81,PE,1732684255
322,nogliki,51.8333,143.1667,-0.49,92,100,8.54,RU,1732684257
323,chiroqchi,39.0336,66.5722,17.16,24,0,2.84,UZ,1732684259
324,lillesand,58.2488,8.3778,3.02,100,75,1.54,NO,1732684260
325,colachel,8.1667,77.25,28.25,83,100,1.63,IN,1732684073
326,kitimat,54.0524,-128.6534,-3.94,77,84,0.71,CA,1732684264
327,nguruka,-5.1092,31.0419,20.09,87,100,1.12,TZ,1732684265
328,zavodoukovsk,56.5042,66.5515,-6.78,85,5,2.1,RU,1732684267
329,kone,-21.0595,164.8658,30.62,59,100,1.29,NC,1732684269
330,choyr,46.3611,108.3611,-6.92,51,27,9.87,MN,1732684270
331,rawson,-43.3002,-65.1023,13.24,63,22,3.47,AR,1732684272
332,khash,28.2211,61.2158,17.66,42,7,0.84,IR,1732684274
333,olonkinbyen,70.9221,-8.7187,-7.59,81,100,9.41,SJ,1732684275
334,puerto cabezas,14.0351,-83.3888,24.07,96,86,3.65,NI,1732684277
335,ntoum,0.3833,9.7833,23.51,94,100,0.92,GA,1732684279
336,fagersta,60.0042,15.7932,5.28,93,100,1.78,SE,1732684280
337,hovd,48.0056,91.6419,-3.67,47,0,0.61,MN,1732684282
338,sabang,5.8933,95.3214,26.45,87,100,9.57,ID,1732684284
339,minas de marcona,-15.2119,-75.1103,14.18,86,99,3.51,PE,1732684285
340,murashi,59.3999,48.9615,-4.51,85,42,3.13,RU,1732684287
341,figuig (centre),32.1089,-1.2286,12.9,45,99,1.22,MA,1732684289
342,cole harbour,44.6724,-63.4751,5.53,91,100,1.79,CA,1732684291
343,wloszczowa,50.8526,19.9659,3.06,95,12,2.54,PL,1732684292
344,six-fours-les-plages,43.0938,5.84,13.03,80,100,0.39,FR,1732684294
345,kayangel,8.0823,134.7173,28.19,81,100,9.21,PW,1732684296
346,kokuy,52.2037,117.5529,-13.6,84,100,2.22,RU,1732684297
347,klyuchi,52.2667,79.1667,-6.89,82,60,1.82,RU,1732684299
348,masterton,-40.9597,175.6575,19.02,72,72,2.77,NZ,1732684301
349,margate,51.3813,1.3862,10.39,92,100,0.89,GB,1732684302
350,colac,-38.3333,143.5833,21.56,76,58,5.22,AU,1732684304
351,yarmouth,41.7057,-70.2286,7.76,77,0,10.28,US,1732684306
352,thompson,55.7435,-97.8558,-17.66,100,100,0.6,CA,1732684236
353,qusmuryn,52.4503,64.6311,-9.8,91,41,1.79,KZ,1732684309
354,feijo,-8.1642,-70.3536,22.89,99,93,0.76,BR,1732684311
